"190913","160400","200000","स: लाई और साज सामान","02.00.21","Supplies & Materials","199000"
"500","1500","400","पी.ओ.एल.","02.00.24","POL","500"
"2095","2000","700","*व>ापन और 7चार","02.00.26","Advertising & Publicity","2000"
"35519","40000","24500","लघु 9नमा!ण काय!","02.00.27","Minor Works","41000"
"500","5000","500","4 यावसा9यक सेवाएं","02.00.28","Professional Services","500"
"124892","128000","135000","अ8 य सं*वदागत सेवाएं","02.00.30","Other Contractual Services","137700"
"0","100","0","सामा8 य अनुदान","02.00.31","Grant-in-aid - General","0"
"5500","5000","2000","2000 अ8 य 7भार","02.00.50","Other Charges","3000"
"","","","इसरो जड़0 वीय 7णाल/ यू9नट (जार/)","02","ISRO Inertial Systems Unit (IISU)",""
"","","","? वP छ काय! योजना (एस.ए.पी.)","02.96","Swachhta Action Plan (SAP)",""
"350","1000","0","लघु 9नमा!ण काय!","02.96.27","Minor Works","0"
"","","","ूचना 7ौBयो(cid:23)गकC","02.99","Information Technology",""
"7000","7000","7500","7500 काया!लय 4 यय","02.99.13","Office Expenses","8000"
"1500","2000","1000","1000 अ8 य 7भार","02.99.50","Other Charges","1300"
"409200","400000","410000","410000","","Total:ISRO Inertial Systems Unit (IISU)","430000"
"","","","Rुवीय उपSह 7मोचक राके ट - सात0 य","04","Polar Satellite Launch Vehicle - Continuation (PSLV-C) Project"
"79989","80000","80000","ेतन","04.00.01","Salaries","80000"
"35","10","40","समयोप(र भ0 ता","04.00.03","Overtime Allowance","40"
"20671","25000","25000","ेशीय या3ा 4 यय","04.00.11","Domestic Travel Expenses","11350"
"0","2000","2000","*वदेश या3ा 4 यय","04.00.12","Foreign Travel Expenses","2000"
"9656","12500","15000","15000 काया!लय 4 यय","04.00.13","Office Expenses","10000"
"14218","25000","25000","25000 अ8 य 7शास9नक 4 यय","04.00.20","Other Administrative Expenses","10000"
"915349","10000","40000","स: लाई और साज सामान","04.00.21","Supplies & Materials","1000"
"1177","1500","2000","लघु 9नमा!ण काय!","04.00.27","Minor Works","1500"
"0","0","0","4 यावसा9यक सेवाएं","04.00.28","Professional Services","0"
"4932","5000","5000","5000 अ8 य सं*वदागत सेवाएं","04.00.30","Other Contractual Services","4000"
"966","2000","1000","1000 अ8 य 7भार","04.00.50","Other Charges","100"
"","","","ूचना 7ौBयो(cid:23)गकC","04.99","Information Technology",""
"0","490","460","460 काया!लय 4 यय","04.99.13","Office Expenses","10"
"1046993","163500","195500","जोड: Rुवीय उपSह 7मोचक राके ट - सात0 य","","Total:Polar Satellite Launch Vehicle - Continuation (PSLV-C) Project","120000"
"","","","अंत(र) अनुसंधान (मु$ य शीष!) (जार/)","3402","Space Research",""
"","","","अंत(र) 7ौBयो(cid:23)गकC (लघु शीष!) (जार/)","00.101","Space Technology",""
"","","","जी.एस.एल.वी.-माक! III का *वकास","06","GSLV Mk-III Development",""
"8758","0","0","ेशीय या3ा 4 यय","06.00.11","Domestic Travel Expenses","0"
"0","0","0","*वदेश या3ा 4 यय","06.00.12","Foreign Travel Expenses","0"
"6471","0","0","0 काया!लय 4 यय","06.00.13","Office Expenses","0"
"13209","0","0","स: लाई और साज सामान","06.00.21","Supplies & Materials","0"
"0","0","0","लघु 9नमा!ण काय!","06.00.27","Minor Works","0"
"0","0","0","4 यावसा9यक सेवाएं","06.00.28","Professional Services","0"
"125","0","0","0 अ8 य सं*वदागत सेवाएं","06.00.30","Other Contractual Services","0"
"337","0","0","0 अ8 य 7भार","06.00.50","Other Charges","0"
"28900","0","0","0","","Total:GSLV Mk-III Development","0"
